xl,xh,NLOnovp,dNLOnovp
316.0,317.01,0.00020756094131182208,4.2645229601505704e-07
317.01,318.02,0.0002671800932736997,4.836287309164104e-07
318.02,319.03,0.00026672816859081143,4.83674734201575e-07
319.03,320.04,0.0002650362332426836,4.807534600028369e-07
320.04,321.05,0.0002640434405642074,4.793488220679653e-07
321.05,322.06,0.000263513918218315,4.790391878334488e-07
322.06,323.07,0.00026227492736314315,4.772265321982498e-07
323.07,324.08,0.00026117417593026474,4.749404066352259e-07
324.08,325.09,0.0002610595310690039,4.758803816028074e-07
325.09,326.1,0.0002606283286631538,4.7562287257598755e-07
326.1,327.11,0.0002592387344073046,4.731952153761012e-07
327.11,328.12,0.0002586419498346578,4.7219242613924444e-07
328.12,329.13,0.0002568239119767369,4.6887666672700534e-07
329.13,330.14,0.000257019724857193,4.700334769956092e-07
330.14,331.15,0.00025661271108698446,4.698141412712305e-07
331.15,332.16,0.0002560020027836864,4.692193348204689e-07
332.16,333.17,0.00025434144470931353,4.6595035321293685e-07
333.17,334.18,0.0002545790313657884,4.668954964739622e-07
334.18,335.19,0.00025329274532101754,4.6467091393141307e-07
335.19,336.2,0.0002526329428922262,4.63662890849871e-07
336.2,337.21,0.0002524448489973258,4.6386542645092346e-07
337.21,338.22,0.0002514371570542611,4.6166179938457666e-07
338.22,339.23,0.00025046359764107506,4.598699495842955e-07
339.23,340.24,0.0002501535222561,4.598405418639405e-07
340.24,341.25,0.00024900716798893806,4.5795649860504697e-07
341.25,342.26,0.00024935055932056514,4.5910045493491074e-07
342.26,343.27,0.00024866476208109447,4.579208075097068e-07
343.27,344.28,0.00024731742373072563,4.551467177338439e-07
344.28,345.29,0.00024734008874847626,4.556165121200437e-07
345.29,346.3,0.00024662589246160233,4.5418440954325857e-07
346.3,347.31,0.0002459956812971272,4.5335472405306275e-07
347.31,348.32,0.00024575734508051927,4.532315631150839e-07
348.32,349.33,0.0002453397382597745,4.5261633747656063e-07
349.33,350.34000000000003,0.0002447790261068388,4.5149999422765156e-07
