xl,xh,NLOnovp,dNLOnovp
106.0,106.6875,0.0,0.0
106.6875,107.375,4.142510217501934e-08,5.523823679814679e-09
107.375,108.0625,1.8731433456925006e-06,3.715605382156527e-08
108.0625,108.75,4.68069838752039e-06,5.687270178467876e-08
108.75,109.4375,7.328230689960172e-06,6.848021293113557e-08
109.4375,110.125,1.0203921214801058e-05,8.172655902463856e-08
110.125,110.8125,1.3166934500621382e-05,9.51011329404181e-08
110.8125,111.5,1.601354795810258e-05,1.0472488935302514e-07
111.5,112.1875,1.852836215875275e-05,1.0969471726107016e-07
112.1875,112.875,2.155850250298778e-05,1.1945758172246582e-07
112.875,113.5625,2.445858012125959e-05,1.2692747018756514e-07
113.5625,114.25,2.74765951721677e-05,1.3648029117079584e-07
114.25,114.9375,3.0387710911762813e-05,1.4316781513011712e-07
114.9375,115.625,3.308835887590671e-05,1.4776675634585257e-07
115.625,116.3125,3.585701452548783e-05,1.5214509361538371e-07
116.3125,117.0,3.9103041484317326e-05,1.6094265737905163e-07
117.0,117.6875,4.170753324498321e-05,1.6515835254554804e-07
117.6875,118.375,4.486326798535194e-05,1.724521539604304e-07
118.375,119.0625,4.777864841773136e-05,1.7726571918812407e-07
119.0625,119.75,5.0610621966102974e-05,1.8066775676752387e-07
119.75,120.4375,5.349458790514847e-05,1.8492927238242157e-07
120.4375,121.125,5.6450206698743e-05,1.908921122698872e-07
121.125,121.8125,6.0319629941622225e-05,2.0262067528062613e-07
121.8125,122.5,6.292985726331121e-05,2.044163510921934e-07
122.5,123.1875,6.60173974547813e-05,2.0884199357430196e-07
123.1875,123.875,6.964129781271319e-05,2.1799482915015957e-07
123.875,124.5625,7.217798634567066e-05,2.178577667427926e-07
124.5625,125.25,7.497889157479972e-05,2.2082700900251783e-07
125.25,125.9375,7.828695319114784e-05,2.2632283477923462e-07
125.9375,126.625,8.163292698490024e-05,2.3270478156654044e-07
126.625,127.3125,8.475880594829002e-05,2.371133301131678e-07
127.3125,128.0,8.751881288017868e-05,2.398044471616807e-07
128.0,128.6875,9.111318719218256e-05,2.454412498584786e-07
128.6875,129.375,9.384665970948686e-05,2.47482207956775e-07
129.375,130.0625,9.6948483940656e-05,2.523818289747469e-07
130.0625,130.75,0.00010021264436674831,2.5548061097833396e-07
130.75,131.4375,0.00010324431735048202,2.588526679163677e-07
131.4375,132.125,0.00010637706211212645,2.624882167771134e-07
132.125,132.8125,0.00010964472440138088,2.670221768667742e-07
132.8125,133.5,0.00011326077018853869,2.726107074627183e-07
133.5,134.1875,0.00011660709355712197,2.759424433046993e-07
134.1875,134.875,0.0001197132017022316,2.802671183300069e-07
134.875,135.5625,0.000122426037918124,2.8177912051079317e-07
135.5625,136.25,0.00012618497779291356,2.8694014734960883e-07
136.25,136.9375,0.00012911941977957186,2.888514577578226e-07
136.9375,137.625,0.0001327127801619562,2.9502099775904345e-07
137.625,138.3125,0.00013604828914176315,2.979755440015013e-07
138.3125,139.0,0.00013935235195393253,3.007041393579982e-07
139.0,139.6875,0.00014279130384555193,3.041563240310157e-07
139.6875,140.375,0.00014650432871490606,3.0971814135251476e-07
140.375,141.0625,0.00014941402548556145,3.111635285714541e-07
141.0625,141.75,0.00015292780509393948,3.1477389535758936e-07
141.75,142.4375,0.0001561631105094227,3.1808368172778454e-07
142.4375,143.125,0.00015968490500967898,3.209510116518592e-07
143.125,143.8125,0.00016288955687605614,3.2491583654019665e-07
143.8125,144.5,0.00016656865977226752,3.2758251451282317e-07
144.5,145.1875,0.0001695275868611401,3.299496665053074e-07
145.1875,145.875,0.00017321049109529548,3.337955356817279e-07
145.875,146.5625,0.00017718692780143772,3.390766983055669e-07
146.5625,147.25,0.00017993290106319484,3.4010138776154534e-07
147.25,147.9375,0.00018424112784376577,3.462471503442353e-07
147.9375,148.625,0.00018780869101302463,3.494166758469824e-07
148.625,149.3125,0.0001910707041491007,3.516212349626061e-07
149.3125,150.0,0.00019473333197062506,3.557228485896413e-07
150.0,150.6875,0.00019845579051585736,3.577757505699746e-07
150.6875,151.375,0.00020142519855937365,3.5990617478934327e-07
151.375,152.0625,0.00020541128084911438,3.650496292355901e-07
152.0625,152.75,0.00020850038089001451,3.6609262437649874e-07
152.75,153.4375,0.0002120901521858917,3.685294746064835e-07
153.4375,154.125,0.00021638460739756336,3.746411108398767e-07
154.125,154.8125,0.000219607752004239,3.7605802795887675e-07
154.8125,155.5,0.00022323095391133083,3.7915562690881095e-07
155.5,156.1875,0.00022661961343406763,3.806825730210825e-07
156.1875,156.875,0.00023095645936442865,3.8584930843621345e-07
156.875,157.5625,0.00023396126566297809,3.851685546737228e-07
157.5625,158.25,0.0002376439201583862,3.88854591963775e-07
158.25,158.9375,0.00024210828828637415,3.9460048343518176e-07
158.9375,159.625,0.00024543366853289585,3.9518478919386057e-07
159.625,160.3125,0.0004999003426657837,5.871084151582085e-07
160.3125,161.0,0.0008048800574647896,7.543768518276044e-07
161.0,161.6875,0.0008089677264914342,7.555205120666548e-07
161.6875,162.375,0.0008134569542379833,7.556784893137915e-07
162.375,163.0625,0.0008182238355402573,7.577877809628487e-07
163.0625,163.75,0.0008241531531826813,7.627868548486908e-07
163.75,164.4375,0.000827542218088183,7.624899195969636e-07
164.4375,165.125,0.0008334936544088315,7.661394730914639e-07
165.125,165.8125,0.0008373142087168586,7.663819268432092e-07
165.8125,166.5,0.000842587649765511,7.690394840537585e-07
166.5,167.1875,0.0008464917011258656,7.680609738329914e-07
167.1875,167.875,0.0008513840697240714,7.707150803804344e-07
167.875,168.5625,0.000857861114996833,7.760447410445221e-07
168.5625,169.25,0.0008605998678056925,7.742058782249162e-07
169.25,169.9375,0.0008664189573642111,7.77171247689071e-07
169.9375,170.625,0.0008717396595303799,7.797359585147311e-07
170.625,171.3125,0.0008751780897746668,7.792852106114621e-07
171.3125,172.0,0.0008813352679967576,7.826417699965662e-07
172.0,172.6875,0.000885890192917529,7.837203207773394e-07
172.6875,173.375,0.0008902430535849092,7.852253994108066e-07
173.375,174.0625,0.0008950862306118635,7.868706388244886e-07
174.0625,174.75,0.0009023660791679167,7.920058760192251e-07
174.75,175.4375,0.0009059725667073327,7.916179939825574e-07
175.4375,176.125,0.0009109940299351449,7.93498066952605e-07
176.125,176.8125,0.0009171397369993132,7.977511337166102e-07
176.8125,177.5,0.0009210376300548282,7.973214805525703e-07
177.5,178.1875,0.0009293055627702104,8.048762431426769e-07
178.1875,178.875,0.0009319402745126834,8.014667569790956e-07
178.875,179.5625,0.0009384357289446218,8.053032285190265e-07
179.5625,180.25,0.0009415683790924589,8.031672404847028e-07
180.25,180.9375,0.0009496488583306404,8.108442417675021e-07
180.9375,181.625,0.000952143937788695,8.073483499489862e-07
181.625,182.3125,0.0009573733718514807,8.103237866386607e-07
182.3125,183.0,0.0009632860180537386,8.128745235517811e-07
183.0,183.6875,0.0009695167016786576,8.163371379547581e-07
183.6875,184.375,0.0009748254347238224,8.177851426242294e-07
184.375,185.0625,0.000979935329521077,8.194221562872336e-07
185.0625,185.75,0.0009846147369110994,8.203280251709728e-07
185.75,186.4375,0.0009923505056361446,8.261045641133011e-07
186.4375,187.125,0.0009964927013800745,8.253584592273921e-07
187.125,187.8125,0.0010029866914508386,8.286592605549257e-07
187.8125,188.5,0.001006726957711449,8.277365459266291e-07
188.5,189.1875,0.0010120191166545886,8.300986286325861e-07
189.1875,189.875,0.0010204714607004739,8.352115741249341e-07
189.875,190.5625,0.0010239839782058746,8.345263111352284e-07
190.5625,191.25,0.001030955597919935,8.381507381490508e-07
191.25,191.9375,0.0010375090962971853,8.426067729926742e-07
191.9375,192.625,0.0010422032570874683,8.429018955966851e-07
192.625,193.3125,0.001047716444562372,8.441428808143069e-07
193.3125,194.0,0.0010523974472420152,8.437095088347468e-07
194.0,194.6875,0.0010596476186945881,8.493086960241967e-07
194.6875,195.375,0.0010660008956316972,8.508074238154402e-07
195.375,196.0625,0.0010732233944323077,8.548073375617145e-07
196.0625,196.75,0.00107853876481733,8.560273230253886e-07
196.75,197.4375,0.001083544959985297,8.569705492852982e-07
